title,genres
the bequest,"{'romance', 'historical-romance', 'family', 'literature', 'fiction', 'historical-fiction', 'contemporary-romance', 'drama', 'american', 'historical'}"
the guardian angel,"{'romance', 'fiction', 'historical-romance'}"
for better or worse,"{'romance', 'contemporary', 'novella', 'science-fiction', 'short-stories', 'fiction', 'contemporary-romance', 'lgbt'}"
ships company,"{'classics', 'comedy'}"
the aeroplane boys flight,"{'fiction', 'adventure'}"
french short stories,"{'classics', 'short-stories', 'unfinished', 'fiction'}"
a hidden life and other poems,"{'classics', 'poetry'}"
the positive school of criminology,"{'psychology', 'sociology', 'non-fiction'}"
uncle bernac,"{'adventure', 'history', 'mystery', 'classics', 'novella', 'travel', 'novels', 'fiction', 'historical-fiction', 'politics', 'war', 'historical'}"
for luncheon and supper guests,{'cookbooks'}
holland,"{'contemporary', 'crime', 'mystery', 'suspense', 'religion', 'mystery-thriller', 'novels', 'fiction', 'thriller'}"
my strangest case,"{'adventure', 'mystery', 'classics', 'mystery-thriller', 'fiction', '20th-century', 'thriller'}"
mike and psmith,"{'classics', 'novels', 'literature', 'fiction', 'comedy', 'historical-fiction', 'short-stories', '20th-century', 'school', 'sports', 'childrens', 'historical', 'humor'}"
the world set free,"{'literary-fiction', 'history', 'classics', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', 'politics', 'war', 'science', 'dystopia', 'amazon', 'speculative-fiction', '20th-century', 'philosophy'}"
lady mary wortley montague,"{'biography', 'travel', 'non-fiction'}"
adventures in friendship,"{'classics', 'fiction', 'biography'}"
great possessions,{'american'}
four early pamphlets,"{'history', 'classics', 'philosophy', 'fiction', 'politics', 'essays'}"
lives of poets v,"{'history', 'biography', 'writing', 'classics', 'literature', 'fiction', 'philosophy', '20th-century', 'essays', 'non-fiction', 'poetry'}"
lost in the air,"{'classics', 'biography'}"
jungle tales of tarzan,"{'classics', 'science-fiction', 'comics', 'fantasy', 'graphic-novels'}"
the rangeland avenger,"{'adventure', 'classics', 'action', 'fiction', 'historical-fiction', '20th-century', 'non-fiction', 'american'}"
les affinites electives,"{'romance', 'literary-fiction', 'roman', 'classics', 'novels', 'literature', 'fiction', 'philosophy', '20th-century', 'love', 'unfinished'}"
adventures in contentment,"{'biography', 'classics', 'self-help', 'novels', 'philosophy', 'fiction', 'literature', 'essays', 'memoir', 'non-fiction', 'spirituality', 'american', 'humor'}"
the real mother goose,"{'picture-books', 'classics', 'animals', 'fantasy', 'literature', 'fiction', 'short-stories', 'childrens', 'young-adult', 'school', 'poetry', 'theology'}"
english literature,{'literature'}
myths and mythmakers,"{'history', 'reference', 'fantasy', 'mythology', 'literature', 'fiction', 'philosophy', 'science', 'non-fiction'}"
journals of elgin,{'history'}
supply and demand,"{'childrens', 'picture-books'}"
the theory of social revolutions,"{'history', 'sociology', 'philosophy', 'fiction', 'politics', '20th-century', 'non-fiction', 'american', 'historical'}"
humane understanding v,"{'philosophy', 'education', 'non-fiction'}"
within the deep,"{'action', 'crime', 'lgbt'}"
jesus says so,{'spirituality'}
an englishmans travels in america,"{'history', 'classics', 'travel', 'literature', 'fiction', 'non-fiction', 'historical'}"
beaumont and fletcher,"{'drama', 'plays'}"
birthright,"{'romance', 'contemporary', 'crime', 'mystery', 'suspense', 'family', 'chick-lit', 'mystery-thriller', 'novels', 'fiction', 'romantic-suspense', 'adult-fiction', 'thriller', 'contemporary-romance', 'adult', 'non-fiction', 'drama'}"
the lives of the poets of,"{'history', 'biography', 'writing', 'reference', 'literature', 'fiction', 'politics', '20th-century', 'non-fiction', 'poetry'}"
plays,"{'contemporary', 'crime', 'mystery', 'suspense', 'family', 'mystery-thriller', 'psychology', 'fiction', 'adult-fiction', 'relationships', 'thriller', 'adult', 'drama'}"
three john silence stories,"{'literary-fiction', 'horror', 'mystery', 'classics', 'paranormal', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', 'supernatural', 'historical'}"
dictionary of middle english,"{'amazon', 'reference'}"
britain at bay,{'war'}
hallecks new english literature,"{'education', 'history'}"
the healthy life cook book d ed,"{'amazon', 'cookbooks'}"
towards the great peace,{'religion'}
the worlds greatest books,"{'literary-fiction', 'classics', 'reference', 'literature', 'fiction', 'amazon', 'short-stories', 'unfinished'}"
old english plays v,"{'literature', 'plays'}"
hilda lessways,"{'classics', 'science-fiction', 'novels', 'literature', 'fiction', 'love', '20th-century', 'historical-fiction', 'unfinished', 'relationships'}"
three more john silence stories,"{'literary-fiction', 'horror', 'mystery', 'classics', 'paranormal', 'fantasy', 'fiction', 'historical-fiction', 'short-stories', 'supernatural', 'historical'}"
lives of the english poets,"{'history', 'biography', 'classics', 'literature', 'fiction', '20th-century', 'non-fiction', 'poetry', 'art'}"
the night land,"{'romance', 'adventure', 'horror', 'classics', 'novella', 'science-fiction', 'fantasy', 'novels', 'literature', 'fiction', '20th-century', 'dystopia', 'speculative-fiction', 'unfinished', 'supernatural'}"
specialiteiten,{'literature'}
ninon de lenclos,{'feminism'}
the war and democracy,"{'classics', 'fiction'}"
general grant vol i,{'historical'}
with zola in england,"{'20th-century', 'non-fiction'}"
game and playe of the chesse,"{'history', 'classics', 'fiction', '20th-century', 'non-fiction'}"
principal navigations v,{'adventure'}
how to use your mind,"{'education', 'self-help', 'reference', 'psychology', 'fiction', 'non-fiction'}"
pebbles on the shore,"{'classics', 'literature', 'short-stories', 'war', 'non-fiction', 'theology'}"
the reign of greed,"{'romance', 'literary-fiction', 'adventure', 'history', 'classics', 'novels', 'literature', 'fiction', 'historical-fiction', 'politics', 'unfinished', 'school', 'non-fiction', 'read-for-school', 'adult', 'historical'}"
histoire de la revolution,"{'romance', 'education', 'history', 'fiction', 'politics', 'historical-fiction', 'war', 'non-fiction', 'unfinished', 'historical'}"
les chasseurs de chevelures,"{'adventure', '21st-century', 'literary-fiction', 'classics', 'fantasy', 'fiction', '20th-century', 'american'}"
a history of freedom of thought,"{'history', 'religion', 'philosophy', 'fiction', 'non-fiction'}"
tine,"{'contemporary', 'literary-fiction', 'history', 'roman', 'novels', 'literature', 'fiction', 'historical-fiction', '20th-century', 'adult-fiction', 'war', 'historical'}"
tartarin de tarascon,"{'fiction', 'roman', 'novels'}"
a desperate chance,"{'romance', 'contemporary', 'chick-lit', 'amazon', 'realistic-fiction', 'college', 'contemporary-romance', 'music', 'drama', 'new-adult'}"
a life of gen robert e lee,"{'history', 'biography', 'classics', 'fiction', 'politics', '20th-century', 'non-fiction', 'historical'}"
character writings,{'non-fiction'}
a christmas mystery,"{'literary-fiction', 'christmas', 'mystery', 'novella', 'family', 'mystery-thriller', 'chick-lit', 'amazon', 'short-stories', 'fiction', 'drama', 'historical'}"
miscellaneous essays,"{'fiction', 'realistic-fiction', 'essays', 'non-fiction'}"
